SetID,Number,Variant,ThemeGroup,Theme,SubTheme,Year,Name,Minifigs,Pieces,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,Image,ImageFilename,EAN,UPC,PackagingType,Availability,InstructionsCount,AdditionalImageCount
7326,"102A","1","Vintage themes","LEGOLAND","Vehicle","1970","Front-End Loader",,57,,,,,"True","102A-1","","","{Not specified}","{Not specified}",0,0
25170,"1200M","1","Basic","System","Town Plan","1957","LEGO Town Plan Wooden Board",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25260,"1224_1","1","Basic","System","Supplemental","1955","8 Danish Named Beams",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25183,"1224A","1","Basic","System","Supplemental","1955","1 x 6 and 1 x 8 Bricks",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25252,"1242D","1","Basic","System","Supplemental","1957","5 Danish Flags",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25453,"139A","1","Modern day","Trains","Supplemental / 4.5V","1969","Electronic Control Unit (Forward - Stop)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25175,"200A","1","Basic","System","Town Plan","1957","LEGO Town Plan Wooden Board",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25296,"200M","1","Basic","System","Town Plan","1957","LEGO Town Plan Wooden Board",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25048,"214_10","1","Basic","System","Supplemental","1961","1 x 2 x 4 Glass Door in Frame, Left",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26249,"214_10","2","Vintage themes","Samsonite","Supplemental","1961","1 x 2 x 4 Glass Door in Frame",,13,,0.5,,,"True","214_10-2","","","Box","Retail",0,1
25039,"214_1","1","Basic","System","Supplemental","1961","1 x 6 x 3 Window with Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26343,"214_1","2","Vintage themes","Samsonite","Supplemental","1961","1 x 6 x 3 Window with Frame",,6,,0.5,,,"True","214_1-2","","","Box","Retail",0,2
25040,"214_2","1","Basic","System","Supplemental","1961","1 x 6 x 2 Triple-Pane Window in Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26344,"214_2","2","Vintage themes","Samsonite","Supplemental","1961","1 x 6 x 2 Triple-Pane Window in Frame",,8,,0.5,,,"True","214_2-2","","","Box","Retail",0,1
25041,"214_3","1","Basic","System","Supplemental","1961","1 x 6 x 2 Double-Pane Window in Frame w/Shutters",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26345,"214_3","2","Vintage themes","Samsonite","Supplemental","1961","1 x 6 x 2 Double-Pane Window in Frame w/Shutters",,8,,0.5,,,"False","","","","Box","Retail",0,0
25042,"214_4","1","Basic","System","Supplemental","1961","1 x 4 x 2 Window in Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26346,"214_4","2","Vintage themes","Samsonite","Supplemental","1961","1 x 4 x 2 Window in Frame",,9,,0.5,,,"True","214_4-2","","","Box","Retail",0,1
25043,"214_5","1","Basic","System","Supplemental","1961","1 x 3 x 2 Window in Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26347,"214_5","2","Vintage themes","Samsonite","Supplemental","1961","1 x 3 x 2 Window in Frame",,12,,0.5,,,"True","214_5-2","","","Box","Retail",0,0
25044,"214_6","1","Basic","System","Supplemental","1961","1 x 2 x 2 Window in Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26348,"214_6","2","Vintage themes","Samsonite","Supplemental","1961","1 x 2 x 2 Window in Frame",,15,,0.5,,,"True","214_6-2","","","Box","Retail",0,1
25045,"214_7","1","Basic","System","Supplemental","1961","1 x 1 x 2 Window Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26349,"214_7","2","Vintage themes","Samsonite","Supplemental","1961","1 x 1 x 2 Window Frame",,19,,0.5,,,"False","","","","Box","Retail",0,0
25046,"214_8","1","Basic","System","Supplemental","1961","1 x 2 x 1 Window Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26350,"214_8","2","Vintage themes","Samsonite","Supplemental","1961","1 x 2 x 1 Window Frame",,19,,0.5,,,"True","214_8-2","","","Box","Retail",0,1
25047,"214_9","1","Basic","System","Supplemental","1961","1 x 1 x 1 Window Frame",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26351,"214_9","2","Vintage themes","Samsonite","Supplemental","1961","1 x 1 x 1 Window Frame",,20,,0.5,,,"False","","","","Box","Retail",0,0
25265,"225_A","1","Vintage themes","Samsonite","Supplemental","1961","1 x 6 Beams",,13,,0.5,,,"True","225_A-1","","","Box","Retail",0,2
25266,"225_B","1","Vintage themes","Samsonite","Supplemental","1961","1 x 8 Beams",,12,,0.5,,,"True","225_B-1","","","Box","Retail",0,3
25267,"227_L","1","Vintage themes","Samsonite","Supplemental","1961","4 x 8 Left Curve Plates",,10,,0.5,,,"True","227_L-1","","","Box","Retail",0,0
25268,"227_R","1","Vintage themes","Samsonite","Supplemental","1961","4 x 8 Right Curve Plates",,10,,0.5,,,"True","227_R-1","","","Box","Retail",0,0
25269,"229_1","1","Basic","System","Supplemental","1962","2 x 8 Plates",,8,,,,,"True","229_1-1","","","Box","Retail",0,2
25270,"229_A","1","Vintage themes","Samsonite","Supplemental","1961","6 x 8 Plates",,8,,0.5,,,"True","229_A-1","","","Box","Retail",0,0
25271,"229_B","1","Vintage themes","Samsonite","Supplemental","1961","2 x 8 Plates",,10,,0.5,,,"True","229_B-1","","","Box","Retail",0,0
25244,"242_1","1","Basic","System","Supplemental","1963","6 International Flags -1-",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25242,"242_2","1","Basic","System","Supplemental","1963","6 International Flags -2-",,,,,,,"True","242_2-1","","","{Not specified}","{Not specified}",0,0
25243,"242_3","1","Basic","System","Supplemental","1963","6 International Flags -3-",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25240,"242A","1","Basic","System","Supplemental","1961","International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25241,"242B","1","Basic","System","Supplemental","1961","International Flags - Britain, France, Austria, Portugal, LEGO",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25261,"242I","1","Basic","System","Supplemental","1958","International Flags",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
26386,"280_3","1","Vintage themes","Samsonite","Supplemental","1965","Assorted Bevelled Bricks",,34,,0.5,,,"False","","","","Box","Retail",0,0
25464,"414_1R","1","Vintage themes","Samsonite","Supplemental","1966","No. 1 Assorted Windows, Red",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25465,"414_1W","1","Vintage themes","Samsonite","Supplemental","1966","No. 1 Assorted Windows, White",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25466,"414_2R","1","Vintage themes","Samsonite","Supplemental","1966","No. 2 Assorted Windows, Red",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25467,"414_2W","1","Vintage themes","Samsonite","Supplemental","1966","No. 2 Assorted Windows, White",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25468,"414_3R","1","Vintage themes","Samsonite","Supplemental","1966","No. 3 Assorted Windows, Red",,,,,,,"True","414_3R-1","","","{Not specified}","{Not specified}",0,0
25469,"414_3W","1","Vintage themes","Samsonite","Supplemental","1966","No. 3 Assorted Windows, White",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25470,"414_4R","1","Vintage themes","Samsonite","Supplemental","1966","No. 4 Assorted Windows, Red",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25471,"414_4W","1","Vintage themes","Samsonite","Supplemental","1966","No. 4 Assorted Windows, White",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25473,"414_5R","1","Vintage themes","Samsonite","Supplemental","1966","Doors, Red",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25472,"414_5W","1","Vintage themes","Samsonite","Supplemental","1966","Doors, White",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25477,"418_1","1","Vintage themes","Samsonite","Supplemental","1966","8 Stud Bricks (clear, white, red)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25478,"418_2","1","Vintage themes","Samsonite","Supplemental","1966","8 Stud Bricks (black, yellow, blue)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25479,"419_1","1","Vintage themes","Samsonite","Supplemental","1966","6 Stud Bricks (clear, red, white)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25480,"419_2","1","Vintage themes","Samsonite","Supplemental","1966","6 Stud Bricks (black, yellow, blue)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25481,"420_1","1","Vintage themes","Samsonite","Supplemental","1966","4 Stud Bricks (clear, white, red)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25482,"420_2","1","Vintage themes","Samsonite","Supplemental","1966","4 Stud Bricks (black, yellow, blue)",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25487,"425_1","1","Vintage themes","Samsonite","Supplemental","1966","1X6 & 1X8 Stud Beams, Clear",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25488,"425_2","1","Vintage themes","Samsonite","Supplemental","1966","1X6 & 1X8 Stud Beams, Assorted Colours (5)",,,,,,,"False","","","","Box","{Not specified}",0,0
7455,"442A","1","Basic","System","Supplemental","1966","International Flags (The Building Toy)",,6,,,,,"True","442A-1","","","{Not specified}","{Not specified}",0,0
25540,"442B","1","Basic","System","Supplemental","1966","6 International Flags (The Building Toy)",,,,,,,"True","442B-1","","","{Not specified}","{Not specified}",0,0
25541,"445A","1","Basic","System","Supplemental","1970","Lighting Device Pack with Improved Plugs (The Building Toy)",,,,,,,"True","445A-1","","","{Not specified}","{Not specified}",0,0
25495,"480_1","1","Vintage themes","Samsonite","Supplemental","1966","Assorted Bevelled Bricks, Red",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25496,"480_2","1","Vintage themes","Samsonite","Supplemental","1966","Assorted Bevelled Bricks, Blue",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25497,"481_1","1","Vintage themes","Samsonite","Supplemental","1966","Assorted Roof Tile, Clear",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
25498,"481_2","1","Vintage themes","Samsonite","Supplemental","1966","Assorted Roof Tile, 5 Colours",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
23401,"50YEARSET","1","Miscellaneous","Promotional","Miscellaneous","2008","50 Year Anniversary Promotional Set",,6,,,,,"False","","","","Box","Promotional",0,0
26383,"50YOP","1","Miscellaneous","Books","LEGO","1982","50 Years of Play",,,,,,,"True","50YOP-1","","","{Not specified}","{Not specified}",0,0
26119,"521_2","1","Vintage themes","Samsonite","Supplemental","1961","1 x 1 and 1 x 2 Plates ",,80,,0.5,,,"True","521_2-1","","","Box","Retail",0,0
25239,"600_1","1","Basic","System","Basic Set","1963","Basic Set",,,,,,,"False","","","","{Not specified}","{Not specified}",0,0
